Model,Validation R²,Test R²,Validation RMSE,Test RMSE,Test MAE,R² Difference
Linear Regression,0.45524879727237744,0.5158215854674506,1167576.292095741,1236773.5801909291,415010.60158937343,-0.06057278819507317
XGBoost (Optimized),0.7464913872992087,0.7400572922471989,796494.0362859026,906204.6923042875,106166.38819848614,0.006434095052009869
Random Forest (Optimized),0.7467028759715034,0.6599621134972433,796161.7307851424,1036456.6477626597,205523.30549799153,0.0867407624742601
